"id","country","leader","period","region","path_type","cluster","priority","status","econ_conditions","social","institutional","political","external","unique_aspects","historical_match_1","historical_match_2","historical_match_3","vdem_coverage","data_notes"
"DEU_WEIMAR","Weimar Germany","Ebert → Hindenburg → Hitler","1919–1933","Europe","Collapse","rapid_collapse","High","Completed — canonical collapse","Hyperinflation 1923 destroyed savings; Great Depression -30% GDP 1929–32; mass unemployment 30% by 1932; reparations debt structurally crippling state finances","WWI trauma + stab-in-the-back myth; extreme political polarisation — street violence normalised; middle class economically annihilated turned to extremes; antisemitic scapegoating filling explanatory vacuum","Proportional representation producing ungovernable coalitions; Article 48 emergency powers used 109 times by 1932; presidential system enabling chancellor bypass of parliament; judiciary sympathetic to right-wing violence","NSDAP 2.6% (1928) → 37.4% (1932) in 4 years; elite conservatives miscalculated they could control Hitler; SA street violence making normal politics impossible; Communist threat used to justify emergency measures","Versailles humiliation as perpetual mobilising grievance; US credit withdrawal post-1929 crashed economy; French and British appeasement enabling boldness","Speed of collapse — functioning republic to dictatorship in 63 days after Hitler's appointment. Elite miscalculation (von Papen believing Hitler was controllable) is the single most studied error in democratic collapse literature. No other case moves this fast.","Austria Dollfuß (70%)","Spain Republic 1931 (65%)","Italy Mussolini entry (60%)","Excellent","V-Dem 1900–2024; Bundesarchiv; Institut für Zeitgeschichte München; Reichstag election records"
"ESP_REPUBLIC","Spain (Republic)","Azaña → Popular Front → Franco","1931–1939","Europe","Collapse","polarisation_collapse","High","Completed — civil war","Agrarian economy with extreme inequality; land reform stalled by landlord resistance; industrial north vs agrarian south structural divide; foreign capital flight after 1931 Republic declaration","Church vs secular deep cultural fracture; regional nationalist movements (Catalonia, Basque); extreme class polarisation — landless peasants vs latifundistas; political assassinations normalising violence before war","Young republic with weak legitimacy on all sides; military with tradition of pronunciamiento; Church as parallel institutional power hostile to Republic; no consensus on constitutional rules between factions","Left-right polarisation leaving no centre ground; Popular Front electoral win triggering military response; anarchist/socialist/communist left unable to unify; Franco coup supported by Nazi Germany and Fascist Italy","Nazi Germany and Fascist Italy military support to Franco; Soviet Union support to Republic creating ideological dependency; non-intervention by France and Britain despite treaty obligations","Only case producing full civil war rather than coup or electoral takeover. Intensity of pre-existing social fracture lines (class, religion, region) made negotiated resolution impossible. Three separate left factions fighting each other simultaneously.","Weimar Germany (65%)","Yugoslavia dissolution (55%)","Lebanon consociational failure (45%)","Excellent","V-Dem 1900–2024; Archivo General de la Guerra Civil Española; Preston biography documentation"
"CHL_ALLENDE","Chile","Allende → Pinochet","1970–1973","Latin America","Collapse","external_interference_collapse","High","Completed — 3yr fastest collapse","Allende copper nationalisation threatening US corporate interests; hyperinflation engineered partly by CIA economic destabilisation; truckers strike (externally funded) paralyzing supply chains; black market and hoarding creating artificial scarcity","Middle class radicalised by economic chaos and scarcity; class polarisation but less ethnic/religious than other cases; polarised media — no neutral information environment; women's march of empty pots as middle class opposition symbol","Military with strong professional tradition — coup was not inevitable; Supreme Court and Congress declaring Allende's actions unconstitutional; Christian Democratic Party withdrawing support enabling coup justification; constitution ambiguous on civilian control limits","Allende won with only 36% — never majority mandate; opposition gained congressional majority 1973 midterms; US actively funding opposition parties and destabilisation; coup planned and executed within 3 years of electoral win","CIA Operation FUBELT — active destabilisation programme; ITT Corporation lobbying Nixon for intervention; Nixon economic blockade cutting international credit; Kissinger: I don't see why we need to stand by and watch Chile go communist","Fastest collapse from functioning democracy in the library — 3 years. External interference was decisive, not just contributory. Without CIA destabilisation the economic crisis may have been manageable. Two-level game: domestic polarisation plus external intervention.","Argentina Dirty War (60%)","Iran 1979 (45%)","Greece Junta (50%)","Excellent","V-Dem 1900–2024; CONADEP equivalent (Rettig Report); US National Security Archive declassified CIA documents"
"IRN_1979","Iran","Shah → Khomeini","1977–1979","MENA","Collapse","revolutionary_replacement","High","Completed — theocratic replacement","Oil wealth creating parallel economy bypassing traditional bazaar; rapid modernisation creating displaced traditional middle class; inequality between oil-connected elite and rural/religious poor; inflation from oil boom spending destabilising living costs","Secularisation programme alienating religious establishment; SAVAK political repression eliminating moderate opposition; bazaari merchant class alienated by economic modernisation; students and clergy forming unlikely revolutionary coalition","Shah's personal rule had hollowed all institutions; military loyalty to person not state — collapsed with Shah's departure; no legitimate opposition party to channel dissent; SAVAK created fear but also demonstrated regime fragility","Khomeini providing ideological framework from exile in Paris; Carter human rights pressure forcing Shah to ease repression — destabilising; mass strikes in oil sector economically decisive; no negotiated transition possible — complete revolutionary replacement","Carter human rights policy reducing US support for Shah; Khomeini exile in France gave him Western media platform; Iraq and regional neighbours watching for opportunity","Only case producing theocratic replacement rather than military or electoral outcome. Revolution consumed its moderate allies once clerical structure consolidated. Mosque network as parallel organisational infrastructure — only meeting spaces SAVAK couldn't fully monitor.","Nicaragua Sandinistas (55%)","Egypt Muslim Brotherhood (40%)","Tunisia Ennahda (35%)","Good","V-Dem 1900–2024; National Security Archive Iran; Abrahamian academic documentation"
"ITA_MUSSOLINI","Italy (Mussolini)","Mussolini","1922–1928","Europe","Consolidation","gradual_legal_consolidation","High","Completed — 6yr slow consolidation","Post-WWI economic dislocation and unemployment; fear of socialist revolution after factory occupations 1920; inflation and debt from war financing; northern industrial elite funding Fascist squads as strike-breakers","Returning WWI veterans feeling betrayed by mutilated victory; middle class fear of socialist redistribution; nationalist frustration at Versailles outcomes; squadrismo normalising political violence in rural areas","Liberal state deliberately weakened by Giolittian trasformismo; King Victor Emmanuel III refused to declare martial law against March on Rome; Acerbo Law 1923 converting plurality into supermajority; Matteotti murder 1924 — opposition boycott played into Mussolini's hands","March on Rome 1922 — bluff that worked because elites capitulated; gradual legal consolidation rather than immediate dictatorship; opposition parties banned incrementally 1925–1928; press censorship introduced step by step not all at once","Mussolini presented as bulwark against Bolshevism — Western acceptance; Lateran Treaty with Vatican neutralising Catholic opposition; no significant foreign pressure against consolidation","Slowest consolidation in library — 6 years from power to full dictatorship. Each step legalised before the next taken. Boiling frog pattern: no single moment where opposition could say this is the line. Elite miscalculation that Mussolini was controllable mirrors Weimar exactly.","Hungary Orbán (74%)","Turkey Erdoğan (60%)","Portugal Salazar (65%)","Excellent","V-Dem 1900–2024; Archivio Centrale dello Stato; De Felice Mussolini biography"
"ARG_PERON","Argentina (Perón)","Perón + Evita","1946–1955","Latin America","Consolidation","populist_consolidation","High","Completed — first populist playbook","Post-WWII commodity export boom funding social spending; nationalisation of railways and utilities building state patronage; Peronist wage increases buying labour movement loyalty; import substitution industrialisation creating protected industries","Descamisados as political base; Eva Perón as social mobility symbol for working class; university autonomy attacked — intellectuals alienated; traditional elite and Church eventually turning against regime","Supreme Court impeached and replaced 1947; constitution rewritten 1949 allowing re-election; Peronist party controlling trade unions as transmission belt; opposition press closed or transferred to regime allies","Electoral legitimacy maintained throughout — never banned elections; personalismo — party identity fused with leader identity; military coup 1955 ending regime; Eva's death 1952 removing key legitimising figure","Cold War context — US ambivalent given anti-communist posture; Perón's Third Position ideology creating strategic ambiguity; British interests threatened by nationalisations","First fully developed populist playbook — later replicated by Chávez, Erdoğan, Orbán almost exactly. Electoral legitimacy never abandoned; institutions transformed from within. Evita factor: personalisation via charismatic second figure unique and proved critical to popular legitimacy.","Venezuela Chávez (70%)","Turkey Erdoğan (65%)","Bolivia Morales (58%)","Excellent","V-Dem 1900–2024; AGN Argentina; Luna biography; Latinobarómetro historical"
"MEX_PRI","Mexico (PRI)","PRI various","1929–1994","North America","Stable","long_run_dominant_party","High","Completed — voluntary transfer 2000","Oil nationalisation 1938 as nationalist founding myth; miracle economy 1940–70: 6% annual growth; 1982 debt crisis beginning PRI legitimacy erosion; NAFTA 1994 triggering Zapatista uprising — contradictions made visible","Mestizo national identity construction absorbing regional identities; corporatist structure: unions, peasants, popular sector all in PRI; Tlatelolco massacre 1968 — student movement crushed; gradual civil society emergence 1980s challenging corporatism","Perfect dictatorship (Vargas Llosa phrase); no re-election rule for president giving regularised elite circulation; electoral fraud systematic but graduated — allow some opposition wins; IFE electoral commission gradually gaining independence 1990s","65-year single party rule without formal dictatorship declaration; sexenio rhythm: 6-year cycles providing predictability; co-optation before repression as primary control mechanism; 1988 election stolen from Cárdenas — legitimacy crisis beginning","US acceptance as stable anti-communist neighbour; NAFTA integration creating pressure for rule-of-law improvements; Zapatista uprising in age of CNN — international attention changing calculus","Longest-running competitive authoritarian system in library. No-re-election rule as unique stabilising mechanism preventing personality cult while maintaining party dominance. Gradual self-democratisation ending in 2000 — only case of peaceful voluntary power transfer from long-ruling authoritarian party.","Japan LDP (65%)","Malaysia UMNO (62%)","Cambodia CPP (58%)","Excellent","V-Dem 1900–2024; IFE/INE data; LAPOP historical; CIDE Mexico City"
"SGP_PAP","Singapore (PAP)","Lee Kuan Yew → Goh → Lee Hsien Loong","1959–2000","Asia-Pacific","Stable","developmental_authoritarianism","High","Completed arc — ongoing","Entrepôt trade hub → manufacturing → financial centre transition; GDP per capita from $500 (1965) to $23,000 (2000); state-directed capitalism via GLC sovereign wealth model; housing ownership as social control and stability mechanism","Multiracial society managed through ethnic quota systems; Confucian values discourse legitimising soft authoritarianism; meritocracy ideology justifying PAP dominance as competence; chilling effect via defamation suits against opposition figures","Westminster system maintained but gerrymandered effectively; Internal Security Act allowing detention without trial; defamation law weaponised against opposition; GRC group representation constituencies reducing opposition viability","PAP never lost a general election; opposition allowed to win a few seats as safety valve; Goh Chok Tong managed succession without instability; Transparency International consistently high — corruption genuinely low","Cold War: US valued stable anti-communist Singapore; ASEAN founding member — regional legitimacy; small state logic: vulnerability used to justify internal discipline","Only case where genuine competence and low corruption coexist with systematic political control. Lee Kuan Yew paradox: authoritarian by any institutional measure, yet delivering outcomes superior to most democracies. Defies standard backsliding narrative — no deterioration arc, just stable managed pluralism.","Rwanda Kagame (62%)","UAE governance model (50%)","Japan LDP (45%)","Excellent","V-Dem 1959–2024; Elections Department Singapore; IPS survey data; Straits Times archives"
"DEU_WEST","West Germany","Adenauer → Erhard → Kiesinger → Brandt","1945–1955","Europe","Transition","externally_anchored_transition","High","Completed — gold standard transition","Marshall Plan $1.4bn injection restarting industrial base; currency reform 1948 (Deutschmark) ending hyperinflation; Wirtschaftswunder — economic miracle legitimising new democracy; Codetermination model giving workers institutional voice","Denazification — partial and contested but establishing new norms; constitutional patriotism replacing ethnic nationalism; generational replacement of Nazi-era elites by 1960s; collective guilt processing — never complete but publicly institutionalised","Basic Law drafted to be collapse-resistant — no Article 48 equivalent; 5% threshold preventing small party fragmentation; constructive vote of no confidence preventing government collapse; Federal Constitutional Court with genuine independence from day one","CDU/SPD alternation establishing legitimate competition; Adenauer's Western integration strategy removing revisionist temptation; rearmament within NATO framework — sovereignty constrained but stable; Berlin question managed without escalation for 40 years","Allied occupation providing external enforcement of democratic norms; NATO membership removing security dilemma; European integration project giving Germany institutional home","Only successful democracy-building on the ruins of a collapsed one within the same generation. Constitutional design specifically addressing Weimar failure points — Basic Law is essentially a list of lessons from 1933. External enforcement during consolidation phase proved essential.","Baltic states transition (68%)","Japan post-1945 (65%)","South Korea consolidation (58%)","Excellent","V-Dem 1900–2024; Bundesarchiv Koblenz; Adenauer Foundation; Marshall Plan documentation"
"ESP_FRANCO","Spain (post-Franco)","Juan Carlos → Suárez → González","1975–1982","Europe","Transition","pacted_elite_transition","High","Completed — global template","Technocratic Opus Dei economic modernisation 1960s creating middle class; transition during oil shock — economic pressure during political change; Moncloa Pact 1977 — parties agreeing on economic rules first; tourism and emigrant remittances providing economic cushion","Generational change: post-civil war generation without direct trauma; regional nationalist movements (ETA, Catalan) as spoiler threat; Church stepping back from political role unlike 1930s; strong civil society emerged under late Francoism","Suárez reform from within — using Francoist institutions to dismantle Francoism; King Juan Carlos as legitimising bridge figure — surprising reformer; army officers who had served Franco accepting transition; 1977 Amnesty Law — no accountability for either side","Pacted transition — all sides accepting impunity for past; first democratic elections 1977 producing centrist result not polarisation; attempted coup 1981 (23-F) failing and actually strengthening democracy; PSOE socialist victory 1982 completing consolidation","European Community membership as carrot and anchor; NATO membership debate providing focus for democratic debate; Basque and Catalan pressure creating urgency for transition","Modelo de transición — negotiated elite pact becoming the global template for democratic transitions. Amnesty Law: deliberately trading accountability for stability — ethical compromise that worked politically. King's role is unreplicable — hereditary monarch choosing democracy over the power he was given.","Portugal Carnation (72%)","Chile re-democratisation (62%)","South Africa CODESA (60%)","Excellent","V-Dem 1900–2024; Fundación Transición Española; Congreso de los Diputados archives"
